#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    86   0.307435E-09  -0.191193E-11   0.159678E-09   0.769106E-08  -0.191193E-11   0.752105E-13  -0.490925E-12   0.347984E-12   0.159678E-09  -0.490925E-12   0.110552E-06   0.572957E-05   0.769106E-08   0.347984E-12   0.572957E-05   0.941370E-03
    87   0.311218E-09  -0.199357E-11   0.157578E-09   0.761150E-08  -0.199357E-11   0.772886E-13  -0.502124E-12   0.283616E-12   0.157578E-09  -0.502124E-12   0.109873E-06   0.573557E-05   0.761150E-08   0.283616E-12   0.573557E-05   0.953064E-03
    88   0.315033E-09  -0.207619E-11   0.155532E-09   0.753356E-08  -0.207619E-11   0.793726E-13  -0.512922E-12   0.230048E-12   0.155532E-09  -0.512922E-12   0.109197E-06   0.574140E-05   0.753356E-08   0.230048E-12   0.574140E-05   0.964766E-03
    89   0.318886E-09  -0.215974E-11   0.153538E-09   0.745725E-08  -0.215974E-11   0.814610E-13  -0.522404E-12   0.189406E-12   0.153538E-09  -0.522404E-12   0.108524E-06   0.574711E-05   0.745725E-08   0.189406E-12   0.574711E-05   0.976484E-03
    90   0.322778E-09  -0.224421E-11   0.151594E-09   0.738257E-08  -0.224421E-11   0.835515E-13  -0.529853E-12   0.163102E-12   0.151594E-09  -0.529853E-12   0.107855E-06   0.575273E-05   0.738257E-08   0.163102E-12   0.575273E-05   0.988223E-03
    91   0.326710E-09  -0.232953E-11   0.149697E-09   0.730951E-08  -0.232953E-11   0.856422E-13  -0.535343E-12   0.149700E-12   0.149697E-09  -0.535343E-12   0.107188E-06   0.575828E-05   0.730951E-08   0.149700E-12   0.575828E-05   0.999989E-03
    92   0.330677E-09  -0.241561E-11   0.147845E-09   0.723800E-08  -0.241561E-11   0.877312E-13  -0.539150E-12   0.147054E-12   0.147845E-09  -0.539150E-12   0.106525E-06   0.576378E-05   0.723800E-08   0.147054E-12   0.576378E-05   0.101179E-02
    93   0.334681E-09  -0.250238E-11   0.146034E-09   0.716802E-08  -0.250238E-11   0.898162E-13  -0.541547E-12   0.153017E-12   0.146034E-09  -0.541547E-12   0.105865E-06   0.576924E-05   0.716802E-08   0.153017E-12   0.576924E-05   0.102362E-02
    94   0.338718E-09  -0.258976E-11   0.144261E-09   0.709952E-08  -0.258976E-11   0.918956E-13  -0.542810E-12   0.165440E-12   0.144261E-09  -0.542810E-12   0.105208E-06   0.577467E-05   0.709952E-08   0.165440E-12   0.577467E-05   0.103550E-02
    95   0.342787E-09  -0.267767E-11   0.142522E-09   0.703246E-08  -0.267767E-11   0.939672E-13  -0.543211E-12   0.182177E-12   0.142522E-09  -0.543211E-12   0.104554E-06   0.578010E-05   0.703246E-08   0.182177E-12   0.578010E-05   0.104742E-02
    96   0.346885E-09  -0.276601E-11   0.140816E-09   0.696681E-08  -0.276601E-11   0.960289E-13  -0.543026E-12   0.201080E-12   0.140816E-09  -0.543026E-12   0.103904E-06   0.578554E-05   0.696681E-08   0.201080E-12   0.578554E-05   0.105940E-02
    97   0.351010E-09  -0.285469E-11   0.139138E-09   0.690252E-08  -0.285469E-11   0.980788E-13  -0.542530E-12   0.220003E-12   0.139138E-09  -0.542530E-12   0.103257E-06   0.579099E-05   0.690252E-08   0.220003E-12   0.579099E-05   0.107143E-02
    98   0.355161E-09  -0.294364E-11   0.137486E-09   0.683956E-08  -0.294364E-11   0.100115E-12  -0.541948E-12   0.237162E-12   0.137486E-09  -0.541948E-12   0.102612E-06   0.579649E-05   0.683956E-08   0.237162E-12   0.579649E-05   0.108352E-02
    99   0.359334E-09  -0.303278E-11   0.135859E-09   0.677789E-08  -0.303278E-11   0.102135E-12  -0.541325E-12   0.252236E-12   0.135859E-09  -0.541325E-12   0.101972E-06   0.580202E-05   0.677789E-08   0.252236E-12   0.580202E-05   0.109568E-02
